Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,sample_type,sex,SRA Study,tissue,cell_type,cell_line
SRR8981838,adult,WGA,302,5677826500,Horizon Discovery,PRJNA533595,SAMN11461757,Human,2507224782,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5761414,Illumina HiSeq 4000,cell line,350HAP2-25-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 11 (350HAP2-25),2019-04-28T16:51:00Z,1,350HAP2-25,single cell,male,SRP194057,leukemia,,eHAP
SRR8981839,adult,WGA,302,7000957054,Horizon Discovery,PRJNA533595,SAMN11461756,Human,3135714441,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761413,Illumina HiSeq 4000,cell line,350HAP2-23-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 10 (350HAP2-23),2019-04-28T16:58:00Z,1,350HAP2-23,single cell,male,SRP194057,leukemia,,eHAP
SRR8981840,adult,WGA,302,6839394000,Horizon Discovery,PRJNA533595,SAMN11461755,Human,3099471933,HARVARD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761412,Illumina HiSeq 4000,cell line,350HAP2-21-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 9 (350HAP2-21),2019-04-28T16:54:00Z,1,350HAP2-21,single cell,male,SRP194057,leukemia,,eHAP
SRR8981841,adult,WGA,302,3763225926,Horizon Discovery,PRJNA533595,SAMN11461754,Human,1690545021,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5761411,Illumina HiSeq 4000,cell line,350HAP2-2-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 8 (350HAP2-2),2019-04-28T16:50:00Z,1,350HAP2-2,single cell,male,SRP194057,leukemia,,eHAP
SRR8981842,adult,WGA,302,3192933354,Horizon Discovery,PRJNA533595,SAMN11461761,Human,1442518429,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761410,Illumina HiSeq 4000,cell line,350HAP2-5-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 15 (350HAP2-5),2019-04-28T16:49:00Z,1,350HAP2-5,single cell,male,SRP194057,leukemia,,eHAP
SRR8981843,adult,WGA,302,3106741950,Horizon Discovery,PRJNA533595,SAMN11461760,Human,1395727947,HARVARD UNIVERSITY,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761409,Illumina HiSeq 4000,cell line,350HAP2-4-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 14 (350HAP2-4),2019-04-28T16:49:00Z,1,350HAP2-4,single cell,male,SRP194057,leukemia,,eHAP
SRR8981844,adult,WGA,302,5426058160,Horizon Discovery,PRJNA533595,SAMN11461759,Human,2469889843,HARVARD UNIVERSITY,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761408,Illumina HiSeq 4000,cell line,350HAP2-3-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 13 (350HAP2-3),2019-04-28T16:54:00Z,1,350HAP2-3,single cell,male,SRP194057,leukemia,,eHAP
SRR8981845,adult,WGA,302,7440121226,Horizon Discovery,PRJNA533595,SAMN11461758,Human,3306121213,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761407,Illumina HiSeq 4000,cell line,350HAP2-27-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 12 (350HAP2-27),2019-04-28T16:56:00Z,1,350HAP2-27,single cell,male,SRP194057,leukemia,,eHAP
SRR8981846,adult,WGA,302,4081354538,Horizon Discovery,PRJNA533595,SAMN11461763,Human,1829942543,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761406,Illumina HiSeq 4000,cell line,350HAP2-7-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 17 (350HAP2-7),2019-04-28T16:50:00Z,1,350HAP2-7,single cell,male,SRP194057,leukemia,,eHAP
SRR8981847,adult,WGA,302,8794599078,Horizon Discovery,PRJNA533595,SAMN11461762,Human,3946492061,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761405,Illumina HiSeq 4000,cell line,350HAP2-6-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 13 Day Cell 16 (350HAP2-6),2019-04-28T16:58:00Z,1,350HAP2-6,single cell,male,SRP194057,leukemia,,eHAP
